,ds,mech,metric,PMM_mean,OT_PMM_mean,PMM_std,OT_PMM_std,pct_impr,std_impr
0,breast_cancer,MAR,MAE,0.3040032357729532,0.2888446677327092,0.0257432492446261,0.0239801151773208,4.986317991550996,6.848918139862838
1,breast_cancer,MAR,RMSE,0.5264464339084473,0.5093815751963241,0.0471273415455776,0.0449914666300931,3.241518531226456,4.532135370756835
2,breast_cancer,MCAR,MAE,0.3316120205075483,0.319652360325693,0.0065393980990203,0.00760511444093,3.606521911826493,-16.296856771410813
3,breast_cancer,MCAR,RMSE,0.5481508376388741,0.5311992396340659,0.0188267189610242,0.0190713199582912,3.092506084242456,-1.299222651452872
4,breast_cancer,MNAR_quant,MAE,0.327971272453372,0.3040840914742881,0.0605342110812066,0.0596126510741931,7.283315029513733,1.5223788177849227
5,breast_cancer,MNAR_quant,RMSE,0.5766050643934288,0.5348930882690648,0.085433707151325,0.0881915928681592,7.234063434431295,-3.2281002531580048
6,parkinsons,MAR,MAE,0.4012834968954984,0.3668229468638292,0.0408166477020099,0.0434516354660019,8.587582170278825,-6.455669224060867
7,parkinsons,MAR,RMSE,0.7064401441170566,0.6590705351555184,0.0586523985104709,0.0712868387068054,6.705395971054709,-21.54121658652874
8,parkinsons,MCAR,MAE,0.4130811251886366,0.3786776612518204,0.0159061923379821,0.0154107513163748,8.328500587168103,3.1147682052369374
9,parkinsons,MCAR,RMSE,0.6924598055759347,0.6465679472754705,0.0314170357368927,0.031972203130394,6.627367817009228,-1.7670903077891875
10,parkinsons,MNAR_quant,MAE,0.4702593677651775,0.400759900569309,0.0764824654945382,0.0771732895545005,14.778964962708166,-0.9032450189666351
11,parkinsons,MNAR_quant,RMSE,0.7658769265596387,0.6673674261503767,0.1106195297049324,0.1089606689852846,12.862314687004881,1.4996092679770552
12,transfusion,MAR,MAE,0.436472951038344,0.423795911972682,0.0885650308281741,0.0916071406100465,2.904427189704203,-3.434888187160945
13,transfusion,MAR,RMSE,0.8522392522119719,0.8305235165945483,0.1438664672940098,0.1425243540667592,2.5480797277361815,0.9328881514187756
14,transfusion,MCAR,MAE,0.4659616585770491,0.4574089404128629,0.0291559533787477,0.0281402806578847,1.8354982661673107,3.483586037023032
15,transfusion,MCAR,RMSE,0.867866017981722,0.8553080811820064,0.0480965552037973,0.0605262080509376,1.4469902657232627,-25.843124927497847
16,transfusion,MNAR_quant,MAE,0.4850796209416072,0.4801107035786757,0.3297114148089515,0.3369249173702312,1.0243508794053588,-2.1878231196391944
17,transfusion,MNAR_quant,RMSE,0.8051255238591097,0.7702283751728028,0.4503379345731738,0.490532331931768,4.334373666237614,-8.925385643270333
